PostId,TagId
"572549","119"
"572549","34792"
"948135","12"
"948135","1259"
"948135","20711"
"1020568","12"
"1020568","139"
"1020568","9848"
"1020568","61267"
"1186400","12"
"1186400","4984"
"1335851","3"
"1335851","367"
"1335851","6837"
"1335851","40180"
"1552340","119"
"1552340","9033"
"1552340","74295"
"1764483","22"
"1764483","72"
"1764483","7028"
"1986386","12"
"1986386","114"
"2003505","119"
"2003505","41346"
"2003505","76220"
"2373074","2"
"2373074","367"
"2831059","12"
"2831059","30"
"2831059","4984"
"2831059","40039"
"2878248","256"
"2878248","7028"
"3028653","12"
"3028653","4984"
"3047056","4"
"3047056","3600"
"3047056","63110"
"4834809","64108"
"5209814","4"
"5209814","1644"
"5340724","119"
"5340724","456"
"5340724","28897"
"5508119","22"
"5508119","1151"
"5767325","3"
"5767325","114"
"7217894","119"
"7217894","5962"
"9461621","3"
"9461621","555"
"9461621","820"
"9461621","3496"
"9529300","4"
"9529300","1326"
"11490322","12"
"11490322","4984"
"11490322","5187"
"11490322","6828"
"11490322","9329"
"11556493","2"
"11556493","4"
"11757537","4"
"11757537","4985"
"13824444","12"
"15482354","355"
"15482354","24155"
"15482354","64108"
"16191820","30"
"16191820","97"
"16191820","4984"
"16191820","64108"
"17073808","119"
"17073808","1966"
"17073808","5597"
"20824558","3"
"20925494","1141"
"20925494","4984"
"20925494","64108"
"20925494","85786"
"23090136","2"
"23090136","4"
"23090136","18929"
"23090136","63851"
"23336359","2"
"23336359","4"
"23336359","13268"
"25430085","373"
"25430085","85786"
"27722872","2"
"27722872","4"
"35181340","4984"
"37909134","2"
"37909134","28998"
"37909134","92497"
"38713405","111608"
"45945820","4198"
"45945820","111608"
"46040733","3"
"46040733","92497"
"48107353","2"
"48107353","4"
"48107353","18929"
"48107353","103892"
"50807929","92497"
"50807929","106942"