Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"31228523","20824558","2","It is not required. It's just a choice.","2013-12-29 11:16:07","","1835884"
"33513172","3047056","3","I anticipated this question. +1 for this.","2014-02-28 12:35:49","","2758467"
"20401901","11757537","3","Chris Coyier's also has some good solutions to this: http://css-tricks.com/perfect-full-page-background-image/","2013-01-30 18:17:05","","247306"
"52703577","5767325","7","[filter method](http://stackoverflow.com/a/21688894/1090562) can do what you want.","2015-09-05 23:43:21","","1090562"
"24696081","17073808","0","You've used SVN, which can't do this either.","2013-06-12 21:31:42","","814145"
"25675497","9461621","2","see http://stackoverflow.com/questions/17633462/format-a-javascript-number-with-a-metric-prefix-like-1-5k-1m-1g-etc","2013-07-13 20:48:56","","931545"
"27690455","5767325","89","If you need to support **<IE9** (*sigh*) then check [this SO question](http://stackoverflow.com/questions/3629183/why-doesnt-indexof-work-on-an-array-ie8) regarding `indexOf` in IE.","2013-09-13 07:48:49","","1123275"
"58146672","1986386","3","use the [.include? method](http://ruby-doc.org/core-2.2.0/Array.html#method-i-include-3F). It returns a boolean which is what you want. In your case just type: ['Cat', 'Dog', 'Bird'].include('Dog') and it should return the boolean true.","2016-02-05 03:20:57","","2714301"
"11970787","9461621","0","Do you also need `M` and `G`?","2012-02-27 07:59:13","","87015"
"11970988","9461621","0","I will need M yes...Can you help?","2012-02-27 08:13:30","","416056"
"43857508","27722872","0","Set a padding to the container, it will make it larger depending on how much text is added.  For example: padding: 4px 10px;  So in your case, remove the width from your <a> selector and add the padding.","2014-12-31 15:11:44","","4245700"
"77158601","1186400","0","Possible duplicate of [How can I set default values in ActiveRecord?](https://stackoverflow.com/questions/328525/how-can-i-set-default-values-in-activerecord)","2017-07-14 00:49:20","","1445184"
"79041916","46040733","0","create an external div before the p tag and give it a className of .myComp","2017-09-04 16:07:32","","5381735"
"79041941","46040733","0","Is this the only solution? I hoped I wouldn't have to create enclosing div elements for all my components","2017-09-04 16:08:24","","1823368"
"31785516","1186400","0","Since the accepted and most answers focus on ActiveRecords, we assume the the original question was about AcitveRecords. Therefore possible duplicate of http://stackoverflow.com/questions/328525/how-can-i-set-default-values-in-activerecord","2014-01-14 20:51:31","","895245"
"1648514","1764483","0","Nice question - interested to see what the answers are.  Of course, the tables should be called User and Role (not pluralised), but that's a whole nother argument :)","2009-11-19 16:16:43","","1853"
"2349119","2373074","2","Related: http://stackoverflow.com/questions/273354/html-single-quotes-a-problem and http://stackoverflow.com/questions/242766/when-did-single-quotes-in-html-become-so-popular.","2010-03-03 16:45:46","","58792"
"35734818","23336359","0","Are you interested in jQuery solution?","2014-04-28 08:45:40","","2666313"
"35734855","23336359","0","If you can explain how i implement that in my situation, sure!","2014-04-28 08:46:46","","2339525"
"52310801","5767325","21","(lodash)  array = ['a', 'b', 'c']; 
    _.pull(array, 'a') // array => ['b', 'c'];  See also http://stackoverflow.com/questions/5767325/remove-a-specific-element-from-an-array-in-javascript/32212535#32212535","2015-08-25 20:28:43","","1738342"
"21917852","15482354","0","Try looking at this [question/answer](http://stackoverflow.com/questions/6765020/regex-to-validate-string-having-only-characters-not-special-characters-blank) as well.","2013-03-18 18:30:29","","1167750"
"41871034","2878248","0","Well, if we'll go a bit further and look into generic naming convension I highly recommend checking this answer: http://stackoverflow.com/questions/4702728/relational-table-naming-convention/4703155#4703155","2014-10-29 13:21:00","","1154462"
"60353052","5209814","5","""position:sticky"" would be the solution. As of now Apr 2016, Firefox seems to be the only browser that supports this (http://caniuse.com/#feat=css-sticky).","2016-04-01 22:27:51","","588521"
"78887225","5209814","0","In recent browsers (released after this question was asked), a better solution is available. See the answer labelled [2016 update](https://stackoverflow.com/a/38796408)","2017-08-30 15:20:41","","437"
"1008423","1186400","1","What are these objects; how are they consumed / used ? Are they used while rendering the views or for controller logic ?","2009-07-27 04:19:05","","1695"
"64675164","37909134","0","Well now the first hit is this. :) https://duckduckgo.com/?q=jsx+nbsp","2016-07-28 20:34:37","","119901"
"64690471","5767325","3","`delete` should be more performant in the short term, because it won't have to shift the later items. `forEach`, `map` and `filter` will automatically skip processing for undefined (deleted) items. But it's probably not ideal if you will be adding a lot of things to your array in future, or reading it many times.","2016-07-29 08:55:01","","99777"
"21271887","2373074","0","@Aito's answer is correct indeed and should be accepted ... Personally, I use single quotes for short attributes like single keywords / tags, URL and references; anything that is not intended to be read by human, actually. For longer texts, or anything that might include spaces or single quotes / apostrophes - as content, I use double quotes. It just a matter of your style (or the style guide you use)","2013-02-27 15:54:30","","1438542"
"21914662","15482354","0","You could always try using regex to check for non-word, non-numerical, and special characters, kind of like what was suggested in this other [question/answer](http://stackoverflow.com/questions/7680771/rails-custom-validation-based-on-a-regex).","2013-03-18 16:57:12","","1167750"
"69984223","23090136","0","@AatishSai Please use common sense... obviously a snippet of HTML and a snippet of CSS here should be put in the *same* Stack Snippet.","2016-12-30 05:23:57","","2756409"
"22915566","5209814","2","Right answer is here
http://stackoverflow.com/questions/4962266/css-positionfixed-inside-a-positioned-element","2013-04-17 10:50:11","","1423539"
"11819524","2373074","5","To answer the question about whether using single- vs double-quotes as means to determine hand-written vs generated HTML, no it's probably not a good idea.  While code that is *inconsistent* (uses single in some places, double in others) is probably hand-written, I'm sure plenty of people (including myself) use double-quotes everywhere, but our code certainly isn't computer-generated ;)","2012-02-20 12:16:31","","393089"
"14884148","9529300","1","[Related Answer](http://stackoverflow.com/questions/7280821/styling-svg-with-css-in-the-containing-html/7281197#7281197)","2012-07-03 12:13:31","","1179377"
"15611718","11757537","0","Try just setting the `width` and `height` should adjust accordingly","2012-08-01 10:45:06","","1414013"
"15611719","11757537","3","It **stretches** the image. see this: http://jsfiddle.net/D7E3E/","2012-08-01 10:47:04","","942659"
"15611720","11757537","0","It takes a part of image not resizing!","2012-08-01 10:50:19","","604156"
"15611721","11757537","0","Sorry, misunderstood. Thought you wanted to adjust the original photo and keep it unstretched","2012-08-01 10:52:03","","1414013"
"47239265","5340724","0","@Jefromi but that's out of his control if he's not the sole person working on the project. other people update the master. hell, you yourself may update the master from a third branch, and the situation would be unavoidable, and in need of a general solution.","2015-04-09 16:19:07","","2951835"
"47239306","5340724","0","@ahnbizcad I'm pretty sure he's in control of where he starts his own branch. If his branch is a common ancestor of the ones he'll want to merge into, and people subsequently add to those branches, it'll still be a common ancestor.","2015-04-09 16:20:28","","119963"
"35291600","23090136","0","Upvote for the visuals, how did you make em?","2014-04-15 17:08:40","","2407212"
"35291812","23090136","0","OmniGraffle, and Pixelmator for touchups.","2014-04-15 17:14:20","","411063"
"6033372","5340724","3","In the future, you could also start your bugfix branch from a common ancestor of master and other branches that will need the fixes, so that you can merge it into all of those branches, without picking anything else up.","2011-03-17 18:11:25","","119963"
"56780343","20824558","1","It might also being used to avoid *automatic semicolon insertion*.","2015-12-29 21:44:23","","839554"
"74421723","1986386","0","dont use [include?](https://apidock.com/ruby/Array/include%3F)  method if you want to check multiples times for different value to be present in array or not because include? each time will iterate over array taking O(n) operation to search each time, Instead make a hash `hash = arr.map {|x| [x,true]}.to_h`, now check whether `hash.has_key? 'Dog' `returns true or not","2017-04-28 19:42:41","","3442392"
"1648572","1764483","6","I generally pluralize table names just because it makes more sense visibly.  I don't have a table of user, I have a table of users.","2009-11-19 16:22:36","","98877"
"4576140","1186400","3","If you are talking about an ActiveRecord object I have to tell you that there's no sane solution to the 'default values' problem. Only insane hacks, and the rails authors don't seem to think that the feature is worth it (amazing as only the rails community is..)","2010-11-19 18:39:59","","63383"
"58079791","35181340","3","For APIs is generally accepted to turn off _CSRF_ token validation. I use `protect_from_forgery with: :null_session`.","2016-02-03 15:44:08","","452964"
"45173248","11757537","0","That is very important to crop correctly for remaining important section of image! Did you that from center of images?","2015-02-09 21:50:09","","1830909"
"62356106","5767325","5","You can use delete but it will not rearange the index instead it will set this slot to 'undefined × 1'. For example: var list = [1,2,3,4,5,6] ->
delete list[1] -> [1, undefined × 1, 3, 4, 5, 6].","2016-05-24 23:26:45","","2179965"
"15178584","11490322","0","Are you sure anonymous classes in an array wouldn't fit? As soon as you start using the namespace by iteration, you should rethink your code.","2012-07-15 11:57:57","","411944"
"63271558","37909134","0","Did you search? First hit: https://www.google.com/search?q=react+html+entities","2016-06-19 17:10:28","","218196"
"63271902","37909134","0","I don't think there is anything wrong with your code. Which Babel and React version are using? Make sure to use the latest versions. You can see in the [Babel repl](https://babeljs.io/repl/#?evaluate=false&lineWrap=false&presets=react) that the generated code contains non-breaking whitespace characters.","2016-06-19 17:29:58","","218196"
"80485158","5340724","0","guys question, does this command do it, `git pull origin my_branch_name`","2017-10-16 12:09:01","","4251431"
"48964429","2003505","48","Note: for Git 2.5+ (Q2 2015), the exact message will be ""**`deleted remote-tracking branch`**"": see https://github.com/git/git/commit/ccd593cffaa020ff767860ec211462b8dbd727a6#diff-d18f86ea14e2f1e5bff391b2e54438cbR268","2015-05-25 14:57:35","","6309"
"82645634","38713405","7","See https://stackoverflow.com/questions/45945820/vs-code-keyboard-shortcut-to-take-file-out-of-preview-mode/47840585#47840585 Alt-Enter added this functionality as of v1.19 in December 2017.","2017-12-15 22:33:35","","836330"
"19025887","13824444","0","possible duplicate of [Comparing Strings in Ruby](http://stackoverflow.com/questions/426159/comparing-strings-in-ruby)","2012-12-11 18:03:19","","577926"
"51160882","1552340","2","For a commit and its parent: http://stackoverflow.com/questions/424071/list-all-the-files-for-a-commit-in-git","2015-07-24 08:03:54","","895245"
"37300870","2003505","854","***Moderator note: If you intend to answer this question, do note that there are already 40 answers posted.  Will your new answer add any substantial value?***","2014-06-11 16:10:42","","102937"
"87601364","20824558","0","Interesting post here on the topic http://jamesknelson.com/javascript-return-parenthesis/ thanks for the great question helped me learned a bunch","2018-05-11 12:41:49","","17877"
"54740959","2373074","1","checkout 10 major websites and see what the majority of them use, like stackoverflow, youtube/google, wikipedia. So far I have trouble finding major websites that use single-quotes.","2015-11-02 12:55:20","","175071"
"72300881","5767325","6","Here a performance benchmark of the two major possibilities: http://jsben.ch/#/b4Ume","2017-03-03 16:46:45","","2689455"
"90866291","38713405","3","if you double click and open the file form left panel, it will not be replaced by other tabs","2018-08-21 14:50:15","","5188661"
"77447969","1986386","2","You can't really do it totally ""without looping through it"". It's logically impossible, the computer just can't know for sure whether the array contains the element without looping through the elements to check if any of them are the one it is searching for. Unless it's empty, of course. Then I guess you don't need a loop.","2017-07-21 15:06:30","","1968171"
"15183070","11490322","0","Hi Tass, can you expand on ""anonymous classes in an array""? I'm fairly positive this isn't the best way to solve a problem I'm currently working on, but I thought I should know how to do something like this anyway.","2012-07-15 17:47:26","","786984"