Id,TagName,Count,ExcerptPostId,WikiPostId
"2","html","803897","3673183","3673182"
"3","javascript","1761110","3624960","3607052"
"4","css","573397","3644670","3644669"
"12","ruby","202353","3624964","3607043"
"22","sql","478709","3625226","3607304"
"30","database","153231","4973766","4973765"
"72","sql-server","253153","3625231","3607030"
"97","migration","7775","7982742","7982741"
"114","arrays","287683","4969094","4969093"
"119","git","107743","3625234","3607047"
"139","string","136419","4887591","4887590"
"256","postgresql","95663","3625247","3607532"
"355","validation","55459","5114527","5114526"
"367","syntax","16886","5643521","5643520"
"373","favicon","1294","5267987","5267986"
"456","version-control","15069","3933491","3933490"
"555","formatting","9951","8801319","8801318"
"820","jquery","944054","3625262","3607053"
"1141","activerecord","25998","4985587","4985586"
"1151","select","31529","5623507","5623506"
"1259","conditional","6556","4913991","4913990"
"1326","svg","30689","4804745","4804744"
"1644","dom","31779","3625014","3607731"
"1966","comments","5154","7576964","7576963"
"3496","numbers","9087","9652650","9652649"
"3600","google-chrome","56690","4701061","4701060"
"4198","keyboard-shortcuts","4231","5309868","5309867"
"4984","ruby-on-rails","302983","3625098","3607365"
"4985","image","92000","5048269","5048268"
"5187","class","57970","5212733","5212732"
"5597","commit","2567","7701501","7701500"
"5962","github","31720","4917212","4917211"
"6828","dynamic","22356","5678745","5678744"
"6837","jslint","969","5086424","5086423"
"7028","naming-conventions","3515","6270168","6270167"
"9033","git-diff","751","5256339","5256338"
"9329","invoke","1501","11436741","11436740"
"9848","lowercase","743","15170498","15170497"
"13268","modx","961","5058786","5058785"
"18929","css3","78078","3625182","3611413"
"20711","switch-statement","8643","8412772","8412771"
"24155","chars","217","10371380","10371379"
"28897","git-merge","2195","13361986","13361985"
"28998","jsx","2842","17684482","17684481"
"34792","git-add","252","8192157","8192156"
"40039","rails-migrations","907","10422127","10422126"
"40180","use-strict","89","23177841","23177840"
"41346","git-remote","647","12080973","12080972"
"61267","uppercase","971","11049272","11049271"
"63110","google-chrome-devtools","5906","7137441","7137440"
"63851","flexbox","11844","11703620","11703619"
"64108","ruby-on-rails-3","55956","4896929","4896928"
"74295","git-show","49","15798676","15798675"
"76220","git-branch","2291","8759281","8759280"
"85786","ruby-on-rails-4","36238","13334177","13334176"
"92497","reactjs","123584","16880335","16880334"
"103892","css-grid","1780","23558629","23558628"
"106942","react-router","9136","28410482","28410481"
"111608","visual-studio-code","13193","29953514","29953513"